2F1	KLRG1	SLC25A5
NIP	DUOXA1	GIPC1
NIP1	NCBP2	NECAB3
NIRF	IL17B	UHRF2
NKH	AMT	GLDC
NKIR	CD300LF	TACR1
NL2	ANGPTL4	MMEL1
NOR1	NR4A3	OSCP1
NOS	NOS1	NOS2
NOV	PLXNA1	RPL10
NP	CTF2P	PNP	ZNF384
NPH3	NPHP3	NXPH3
NPYR	CXCR4	NPY1R
NRF2	GABPA	NFE2L2
NRK2	NEK4	NMRK2
NRP	NAP1L1	NRP1	OPTN
NRXN4	CNTNAP1	CNTNAP2
NS	GNL3	SPINK5
NSCL2	NHLH2	TAF1
NSE1	FAM84A	NSMCE1
NSE2	FAM84B	NSMCE2
NSP	RTN1	SPECC1
NSP2	BCAR3	RTN2
NTN	CX3CL1	NRTN
NY-REN-2	YTHDF2	YTHDF2P1
OAT4	SLC22A11	SLC22A9
OAZ	OAZ1	ZNF423
OB	CDH11	LEP
OCIF	BTF3P11	TNFRSF11B
OCP2	SKP1	SKP1P1
OCT1	POU2F1	SLC22A1
OCT2	POU2F2	SLC22A2
OCT3	POU5F1	SLC22A3
ODC	ODC1	SLC25A21
ODC1L	ADC	AZIN1
ODD	GJA1	OSR1
ODZ3	TENM1	TENM3
OF	BRIP1	SPI1
OFD1P1	OFD1P17	OFD1P1Y
OFD1P2	OFD1P2Y	OFD1P6Y
OI4	COL1A1	COL1A2
OLF1	EBF1	OR5I1
OLF4p	OR7A1P	OR7A2P
OPG	BTF3P11	TNFRSF11B
OR11-1	OR7E10P	OR7E126P
OR11-11a	OR7E4P	OR7E8P
OR19-18	OR7A2P	OR7C2
OR4F18	OR4F17	OR4F4
OR7E68P	OR7E110P	OR7E26P
ORF1	AHI1	NCKIPSD
OSCP	ATP5O	ITGBL1
OST	DDOST	MCF2L
OTX3	CRX	DMBX1
OX2R	CD200R1	HCRTR2
P1	B3GALNT1	PRF1
P11	ENDOU	S100A10
P14	CTNNBL1	RPP14	S100A9
P15	CDKN2B	NXT1
P18	EEF1E1	MAFK	ZNF197
P21	CDKN1A	TCEAL1
P28	DNALI1	GOSR1	GSTO1
P39	ATP6V0D1	CDK5R2
P40	ARHGEF2	EBNA1BP2	IL9	PSMD7
P47	CLEC11A	PLEK
P54	FKBP5	NONO
P58	DNAJC3	PDIA3	PSMD3	RAD23B
P65	GORASP1	SYT1
P84	SIRPA	THOC1
PA	BLOC1S6	EPB42
PABP1	PABPC1	PABPC1P1
PABP2	PABPC1P2	PABPN1
PABP3	PABPC1P3	PABPC3
PABPL1	PABPC1	PABPC1P10
PAC1	ADCYAP1R1	KLF6	PSMG1
PACAP	ADCYAP1	MZB1
PACT	PRKRA	RBBP6
PAD	DHX40	PADI4
PAFAH	PAFAH1B1	PLA2G7
PAK5	PAK6	PAK7
PAL	LRIT1	PAM
PAN2	NLRP4	RDH14
PAO	PAOX	SMOX
PAP	ASAP1	ASAP2	MRPS30	PAPOLA	PDAP1	REG3A	TUSC2
PAP1	PDAP1	REG3A
PAPA	GLI3	PAPPA
PAR-1	F2R	MARK2
PAR1	F2R	SLC52A2
PAR2	F2RL1	NR1I2	SLC52A1
PAR3	F2RL2	PARD3
PAR4	F2RL3	PAWR
PARC	CCL18	CUL9
PAT1	APPBP2	SLC36A1
PBF	PTTG1IP	ZNF395
PBI	APOBEC3C	SMR3A
PBP	DOCK3	MED1	PEBP1	PKD1	PPBP
PC2	CBX4	PCSK2	PKD2
PC3	BTG2	CBX8	PCSK1
PC4	IFRD1	PCSK4	SUB1
PCA1	ENPP1	PCAT1
PCD	DNAAF3	DNAH5	DNAI1	PCBD1
PCDH2	PCDHG@	PCDHGC3
PCL	FLT4	PKD2L1
PCN	PCNT	PLEC
PD1	PDCD1	SNCA	SPATA2
PDI	P4HB	PADI1	PDIA2
PDIP1	HELZ2	KCTD13
PDIR	PDIA2	PDIA5
PEPP1	PLEKHA4	RHOXF1
PEPP2	PLEKHA5	RHOXF2
PERRS	RGS9	RGS9BP
PFM	ALX4	MSX2
PFM1	MSX2	PRDM4
PFM2	ALX4	PRDM5
PGAM-B	PGAM1	PGAM4
PGDS	HPGDS	PTGDS
PGR1	GPR153	MRFAP1
PHKD	CALM1	CALM2	CALM3
PIG1	LGALS7	NUFIP2
PIG3	MRPL41	TP53I3
PIG6	PRODH	SPAG9
PL	CSH1	PNLIP
PLA2L	HHLA1	OC90	PLA2G2A
PLAP	LNPEP	PLAA
PLB	PLB1	PLN
PLCE	PLCE1	PLCL1
PLIP	KAT5	PTPMT1
PLP	PLP1	PRDX5	PTHLH
PM5	NOMO1	NOMO2
PMI	PMM2	TMEM11
PMR1	ATP2C1	PXDNL
PN-I	NT5C	NT5C3A
PN1	SCN9A	SERPINE2
PNK	PDXK	PNKP
PNR	NR2E3	TAAR5
POB1	REPS2	TRIM37
POF	DIAPH2	FMR1	POF1B
POP1	BVES	PYDC1
POP2	CNOT8	POPDC2	PYDC2
PORC	HMBS	PORCN
POTE2beta	POTEI	POTEJ
PP1	NPY4R	PPA1
PP17	PLIN3	STMN1
PP2Calpha	PPM1A	PPP2CA
PP5	PPP5C	TFPI2
PPCD	COL8A2	VSX1
PPD	HPD	VSX1
PPIase	FKBP1B	FKBP2	FKBP3	FKBP5	FKBP6
PPP1R6	PPP1R3D	PPP1R9B
PR	PGR	TMEM37
PRAF1	POLR1E	RABAC1
PRC17	TBC1D3	TBC1D3B
PRG	PRB3	SRGN
PRG1	IER3	SRGN
PRIP	NCOA6	PLCL1	PRNP
PRK1	PKN1	PROK1
PRKAR2	PRKAR2A	PRKAR2B
PRL1	PLRG1	PROL1
PRL3	PTP4A3	SMR3B
PRO1	LMNA	ZMPSTE24
PRP	PRDX2	PRNP
PRR2	PNRC1	PVRL2
PRSSL1	KLK10	PRSS57
PRX2	PRDX2	PRRX2
PSA	KLK3	NPEPPS	PSAT1
PSF	IGFBP7	SFPQ
PSF1	GINS1	TAP1
PSF2	GINS2	TAP2
PSP	BPIFA2	HRSP12	MSMB	PSPH	PSPN	REG1A
PTB	PTBP1	PTBP2
PTC	CCDC6	RET	TAS2R38
PTEN2	PTENP1	TPTE
PTH1	PTH	PTRH1
PTH2	PTENP1	PTRH2
PTHR	PTH1R	PTHLH
PTP	PTPRU	REG1A
PTPA	PPP2R4	PTPRA
PTPRZ	PTPRZ1	PTPRZ2
PTX1	CRP	ERGIC2	PITX1
PUM	MUC1	MYOD1
PWCR	NDN	SNRPN
PXMP1	ABCD3	PEX19
QP-C	UQCRB	UQCRQ
RAB39	RAB34	RAB39A
RAD26L	ERCC6L	ERCC6L2
RAGE	AGER	MOK
RAI	PPP1R13L	RNH1
RAM	CCDC26	FAM103A1	RAB27A
RAMP	DTL	PAMR1	ZMYM2
RAR	RAB40B	RARA
RBM1	CCBL2	RBMY1A1
RBP	RENBP	SUGP1
RC3	DMXL2	NRGN
RCP	CRCP	OPN1LW	RAB11FIP1
RD	DYX1	ERMAP	NELFE	PEX7	PHYH
RDC1	CXCR7	VIPR1
RDS	PRPH2	TST
REF1	APEX1	TFPI2
REGL	REG1B	REG1P
RF1	ETF1	MTRF1
RH	RHCE	RHD
RHA	DHX9	HCL2
RIF	RHOF	RNF34
RIF1	INSL6	LRIF1
RIG	DIRAS1	DKK3	RPS15
RIM	RBBP8	RIMS1
RING2	HSD17B8	RNF2
RING5	RNF5	SLC39A7
RINZF	ZBTB10	ZBTB46
RIP	AGFG1	RALBP1	RIPK1	RPAIN
RIP1	RALBP1	UQCRFS1
RIP2	ARHGEF28	RIPK2
RIP5	C20orf24	DSTYK
RIS1	TMEM158	UQCRFS1
RITA	C12orf52	ZNF331
RMD1	RMDN1	RMND1
RN	U2AF1	ZNF362
RNF35	TRIM40	TRIM61
RNU1-5	RNU1-5P	RNVU1-18
RNU1-6	RNU1-6P	RNVU1-9
RNU1-7	RNU1-27P	RNU1-7P
RNU1-8	RNU1-28P	RNU1-8P
RNU12P	RNU12	RNU12-2P
RNU1P1	RNU1-11P	RNVU1-18
ROC1	RBX1	RIT1
RP1	MAPRE2	STK19
RP2	NUDT19	STK19P
RP3	MAPRE3	RPGR
RP42	DCUN1D1	KLHL7
RP8	MT-TS2	PDCD2
RPD3	HDAC2	HDAC3	HDAC8
RPML3	MRPL3	MRPL38
RPP2	POP7	RPLP2
RPS17L1	RPS17	RPS17P2
RPS17L2	RPS17	RPS17P3
RPS27AP	RPS27AP1	RPS27AP3
RRP17	NOL12	RASL10B
RS	PITX2	REG1P	RS1
RSK	RPS6KA1	RPS6KA2	RPS6KA3
RU2	DCDC2	KAAG1
RhoGAP2	ARHGAP22	CHN1
Rsc6p	SMARCD1	SMARCD2	SMARCD3
Rsc8	SMARCC1	SMARCC2
S10	L1CAM	PSMD6	RPS10
S100A15	S100A14	S100A7A
S12	HTR1B	PSMD7	RPS12
S14	PSMD8	RPS14	THRSP
S2	PSMD2	RPS2
S3	PSMD3	RPS3
S4	PSMC1	RPS4X	RPS4Y1
S6	PSMC4	RPS6
S7	PSMC2	RPS7
S8	PSMC5	RPS8
S9	PSMD11	RPS9
SA	ACSM3	RPSA
SAA	SAA1	SAA@
SAC3	FIG4	MCM3AP
SAP	APCS	SH2D1A
SAP1	DEFB4A	ELK4	PSAP
SAP190	PPP6R1	PPP6R2	PPP6R3
SAPL	NUSAP1	PPP6R3
SAR1	IQGAP1	SAR1A
SAS	NANS	TSPAN31
SAST	MAST1	OLAH
SBBI31	SNX24	SNX25
SCAR1	SETX	WASF1
SCCA1	SERPINB3	SERPINB4
SCKL4	CENPJ	PCNT
SCL	KRT7	SCLY	TAL1
SCP1	CTDSP1	SYCP1
SCP2	CTDSP2	SYCP2
SD	RANGAP1	SLC17A5
SDH	SARDH	SDHB	SDS
SDP1	SCAND1	SNX9
SDR1	DHRS3	NPTN
SEP	MMEL1	PLXNB1
SEP2	SEPT6	SEPT8
SERS	SARS	SARS2
SF	HGF	KITLG
SFD	ATP6V1H	TIMP3
SG2NA	STRN	STRN3
SHMT	SHMT1	SHMT2
SIII	TCEB1	TCEB2	TCEB3
SIL	PMEL	STIL
SIN	EFS	POLR3E
SIP	CACYBP	RBM14	TP53INP1	TSACC
SIP-1	SLC9A3R2	ZEB2
SIP1	GEMIN2	SCAF11	ZEB2
SKD1	VPS4A	VPS4B
SKD2	NSF	VPS4A
SKIP	INPP5K	SNW1	SPHKAP
SL1	TAF1A	TAF1B	TAF1C
SLP1	SUCO	SYTL1
SMA3-L	GUSBP2	GUSBP4
SMAC3L	GUSBP2	GUSBP4
SMAP	BRD8	C11orf58	KIFAP3
SMAP-1	SMAP1	UNC45A
SMCC	CNN1	TAGLN
SMN	SNRPN	STMN1
SN	SCG2	SIGLEC1
SNF2	SMARCA2	SMARCA4
SNF2LB	SMARCA1	SMARCA4
SNT1	FRS2	SNTA1
SOAT	SLC10A6	SOAT1
SP17	CCDC54	SPA17
SPANX	SPANXA1	SPANXA2
SPB1	FTSJ1	FTSJ3
SPC1	FURIN	SPCS1
SPC3	PCSK1	SPCS3
SPIN	GTF2I	SPIN1
SPK	PBK	SYMPK
SPO	LPO	SYNPR
SPS1	SEPHS1	SRM
SRBC	CD2	PRKCDBP
SRC1	NCOA1	SRC
SRPSMCR	SRP68P1	SRP68P2	SRP68P3
SRS	RSS	SMS
SS	GYPB	SHOX
SSS1	SCN5A	SEC61G
ST2L	IL1RL1	TMED1
STA	EMD	GCY
STD	SULT2A1	ZAP70
STK1	CDK7	FLT3
STK2	NEK4	SLK
STP	SULT1A1	TRIP10
SUH	RBPJ	RBPJL
SWAP	ITSN2	SFSWAP
SWI2	SMARCA2	SMARCA4
SYM1	MPV17	NOG
SYN	FYN	SYNM
SYT	SS18	SYT1
Sno	SBNO1	SBNO2
Stv1	ATP6V0A1	ATP6V0A2	ATP6V0A4
T1	CD5	IL1RL1	SLC25A4	TRAPPC9
TAF2A	TAF1	TAF10
TAF2C2	PAPPA-AS1	TAF4B
TAFII105	PAPPA-AS1	TAF4B
TAK1	MAP3K7	NR2C2
TAO1	TAOK1	TAOK2
TAP	FLNB	NXF1	SEC14L2	USO1
TBL1	TBL1X	TBL1Y
TCEB1L	SKP1	SKP1P1
TCRAV17S1	TRAV17	TRAV23DV6
TCRAV19S1	TRAV19	TRAV41
TCRAV25S1	TRAV25	TRAV35
TCRAV31S1	TRAV31	TRAV40
TCRAV4S1	TRAV26-2	TRAV4
TCRBV12S2	TRBV10-1	TRBV12-2
TCRBV12S3	TRBV10-2	TRBV12-3
TCRBV13S1	TRBV13	TRBV6-5
TCRBV14S1	TRBV14	TRBV27
TCRBV15S1	TRBV15	TRBV24-1
TCRBV21S1	TRBV11-1	TRBV21-1
TCRBV2S1	TRBV2	TRBV20-1
TCRBV3S1	TRBV28	TRBV3-1
TCRGV5P	TRGV5P	TRGV6
TDE2	SERINC1	SERINC2
TDGF2	TDGF1P2	TDGF1P3
TEL2	ETV7	TELO2
TFIIA	GTF2A1	GTF2A2
TFIIF	GTF2F1	GTF2F2	GTF2F2P1
TFIIH	ERCC3	GTF2H1	GTF2H2	GTF2H3	GTF2H4	GTF2H5
TFIIIB90	BDP1	BRF1
TFIIS	TCEA1	TCEA2
TGIF	IL10	TGIF1
TGT	QTRT1	USP14
THRA1	NR1D1	THRA
TIH1	PHLDA3	RUVBL1
TIM	ARHGEF5	TIMELESS
TIM1	ARHGEF5	HAVCR1	TIMELESS
TIP	ITFG1	METTL8
TIP39	PTH2	TFIP11
TLN	ICAM5	TLN1
TLP	CRIP3	TBPL1
TLX	CD46	NR2E1
TMS-1	PYCARD	SERINC3
TN	CLEC3B	TNC
TNT	C16orf82	TNNT1
TP	LCN1	TMPO
TP2	TERT	TNP2
TPC	CCDC6	SLC25A19
TPT	PDSS1	SHH
TR	F2R	TERC	TMEFF2	TXNRD2
TR1	TAS1R1	TNFRSF11B
TR2	NR2C1	TAS1R2	TNFRSF14	TXNRD3
TR3	NR4A1	TNFRSF25	TXNRD2
TRAM	TICAM2	TRAM1
TRAMP	TNFRSF25	TRAM1	ZBED1
TRAP	ACP5	CD40LG	SCYL1
TRAP1	HSP90B2P	TGFBRAP1
TRAP2	HSP90B3P	PSMD2
TRB1	TAS2R14	TRIB1
TRB2	TAS2R10	TRIB2
TRB3	TAS2R13	TRIB3
TRBP	NCOA6	TARBP2P
TRE	TREH	TRNAE1
TRF	IL5	TERF1
TRF2	TBPL1	TERF2
TRIP	LRRFIP1	TRAIP
TRK	NTRK1	TPM3
TRM1	TRMT1	TRNAM1	TRNAM2
TRN	TNPO1	TRNAN1
TRN2	TNPO2	TRNAN2
TRNP1	TRNAL1	TRNAP1	TRNAP2
TRY3	PRSS3	PRSS3P3
TS	CACNA1C	TBXAS1	TYMS
TSBP	C6orf10	CTR9
TSC	TESC	TSC1
TSSK1	TSSK1A	TSSK1B
TTG1	C1orf27	LMO1
TTP	ADAMTS13	ZFP36
TTY11	TTTY11	TTTY12
TYRO4	EPHA3	EPHA5
U13	SNORD13	SNORD13P1	SNORD13P2	SNORD13P3
U14	SNORD14A	SNORD14B
U19	EAF2	SNORA74A
U2	RNU2-1	RNU2-2P	RNU2-3P	RNU2-4P	RNU2-5P
U3	RNU3P1	RNU3P2	RNU3P3	RNU3P4	SNORD3@	SNORD3A
U3b2	SNORD3B-1	SNORD3B-2
U4	RNU4-1	RNU4-3P	RNU4-4P	RNU4-5P	RNU4-6P	RNU4-7P	RNU4-8P
U5B1	RNU5A-1	RNU5B-1
U6	RNU6-1	RNU6-50P
U62	SNORD62A	SNORD62B
U87	SCARNA5	SNORD87
UBC2	UBE2A	UBE2B
UBC7	UBE2G1	UBE2G2
UBXD10	NSFL1C	UBXN1
UCRP	CLRN1-AS1	ISG15
UFD2	UBE4A	UBE4B
UGT	SLC35A2	UGT1A
UGT1	SLC35A2	UGT1A1
ULG4	EBR3	HOAC
ULG5	LHCGR	SIL1
UNG2	CCNO	UNG
UNR	CSDE1	NR1H2	P2RY4
UP2	UPK2	UPP2
UPA	PLAU	PRAP1
URP	UCN2	UNC50	UTS2B	ZRSR2
V1S5P	TRGV5P	TRGV6
VATB	ATP6V1B1	ATP6V1B2
VPP2	ATP6V0A4	ATP6V1A
VPP3	ATP6V1B1	ATP6V1B2
VR1	TRPV1	VTRNA1-1
VRP	TBC1D8	VEGFC
VWS1	CAMK1G	IRF6
Vma10	ATP6V1G1	ATP6V1G2	ATP6V1G3
Vma2	ATP6V1B1	ATP6V1B2
Vph1	ATP6V0A1	ATP6V0A2	ATP6V0A4
WAGR	PAX6	WT1
WBS	ELN	WBS2
WBSCR20B	NSUN5P1	NSUN5P2
WS	ELN	WBS2
XAP4	POLR2E	RBCK1
YDR084C	TVP23A	TVP23B
YMR292W	GOLT1A	GOLT1B
ZAC	PLAGL1	ZACN
ZAP	YLPM1	ZC3HAV1
ZIN	RNF216	STRN4
ZIP	DAPK3	ZGPAT
ZNF422	PHF8	ZNF22
ZRC1	SLC30A1	SLC30A10
ZYG11	ZYG11A	ZYG11B
bA548K23.1	C10orf62	CTGLF9P
bHLHe38	MYCL1	MYCL1P1
dJ760C5.1	CFTR	CFTRP1
mu2	AP1M2	AP2M1
neuropsin	KLK8	OPN5
p100	SND1	TPX2
p105	NFKB1	NFKB2
p115	ARHGAP4	USO1
p12	POLD4	POLE4
p120	BRD8	CTNND1	NOP2	NSUN5
p13	EXOSC1	H3F3AP4
p14	CDK2AP2	CDKN2A	LAMTOR2	SUB1
p15	MRPL28	SUB1
p150	ABL1	ANPEP	PIK3R4
p18	ATRAID	CDKN2C	H3F3AP3	LAMTOR1	TPPP2
p19	CDKN2A	CDKN2D
p21	H3F3AP6	TCEAL1
p22	CHP1	DYNC1H1	PHB2
p24	CHP1	NRSN1
p25	DCTN5	TPPP
p27	PSMD9	SSSCA1
p28	IL27	PSMD10
p29	PRDX6	SYF2
p31	PSMD8	USE1
p33	ING1	LTB
p34	AAGAB	CCNH
p35	IL12A	UPK3B
p37	CCNH	UBXN2B
p38	AHSA1	AIMP2	MAPK14
p40	C1orf228	LANCL1	RPSA
p42	CDK20	PSMC6
p44	GTF2H2	IFI44
p45	PSMC5	SKP2
p47	ING1	NSFL1C
p50	CD40	NFKB1
p52	NFKB2	PSIP1
p55	ERG	FSCN1	PIK3R3	PSMD12
p56	CCDC91	PSMC1
p6	EXOSC9	S100A12
p62	KHDRBS1	NUP62	SQSTM1
p67	CD33	METAP2
p75	PSIP1	TNFRSF1B
p8	CMC4	EXOSC7	NUPR1
p85	PIK3R1	PIK3R2	PPP1R12C	PPP1R13B
p97	CFDP1	EIF4G2	GEMIN4	VCP
pH2A/f	HIST1H2AG	HIST1H2APS5
pTEX	TEX28P1	TEX28P2
smk1	SMEK1	SMEK3P
tamo	SPATA2	SPATA2L
