2F1	KLRG1	SLC25A5
CELIAC1	HLA-DQA1	HLA-DQB1
CENPC	CENPC1	CENPC1P1
CEP1	CDC42EP1	CNTRL
CEP2	CDC42EP2	CEP250
CEP4	CDC42EP4	CEP135
CFAG	S100A8	S100A9
CFD1	FGFR2	NUBP2
CFP1	CCNY	CXXC1
CG1	KTN1	MAMLD1	NUPL2
CGI-141	GOLT1A	GOLT1B
CHAMP	CHAMP1	MOV10L1
CHD5	CHD6	WRB
CHE1	AATF	BCHE
CHED	CDK13	CHED1
CHK	CHKA	MATK
CHN	CHN1	NR4A3
CHS1	LYST	VPS13B
CIA	ASF1A	NCOA5
CIB	ABHD14B	CIB1
CINAP	TAF9	TSPYL2
CIP1	CDKN1A	SLC12A9
CIR	CIR1	KCNJ5
CKMT1	CKMT1A	CKMT1B
CKR-1	CCR1	CXCR1
CKS1	CKS1B	CKS1BP7
CLA1	SCAR2	SCARB1
CLA20	AP3M2	AP4S1
CLC2	CLCN2	LGALS14
CLDN21	CLDN22	CLDN24
CLECSF13	CLEC10A	CLEC4F
CLF	CRLF1	CRNKL1
CLG	MMP1	PLEKHG2
CLIM1	LDB2	PDLIM1
CLIP	CLIP1	CLIP2	POMC
CLM	CST9	LAMB1
CLMF	IL12A	IL12B
CLP	CALML3	COTL1	CSRP3
CLPSMCR	COTL1P1	COTL1P2
CLU1	CLU	CLUH
CMPD2	CMD1D	SCN5A
CMT2	KIF1B	MAD2L1BP
CN1	CNDP1	NT5C1A
CNA2	KERA	PPP3CB
CNK	CNKSR1	PLK3
CNR1	PCDHA4	PCDHA@
CO4	C4A	C4B
COD1	COG4	RPGR
COD5	OPN1LW	OPN1MW
COL6A4	COL6A4P1	COL6A4P2
COM1	NUPR1	RBBP8
COP1	CARD16	RFWD2
COQ8	ADCK3	ADCK4
COT	CROT	MAP3K8
COX1	MT-CO1	PTGS1
COX11P	COX11	COX11P1
COX2	MT-CO2	PTGS2
CP27	CFDP1	CYP27A1
CPI17-like	PPP1R14C	PPP1R14D
CPN1	CPNE1	CYP11B1
CPN2	CPNE2	CYP11B2
CPT1	CHPT1	CPT1A	CPT2
CPX	CPOX	EBP	TBX22
CR	CD55	TDGF1
CRA	LUC7L3	MTMR11
CRABP-I	CRABP1	RBP1
CRABP-II	CRABP2	RBP2
CRD	CRX	RPGR
CRF	C1QL1	CRH
CRN	CORIN	CRNKL1
CRP2	CEBPB	CRIP2	CSRP2
CRYG5	CRYGA	CRYGEP
CS-1	MYOZ2	SSFA2
CS-2	CSH2	MYOZ1
CSA	CSH1	ERCC8
CSB	CSH2	ERCC6
CSN1	CSN1S1	GPS1
CSRP	CSRP1	MED14
CT1	CTF1	SLC6A8
CT58	NLRP4	WISP2
CT72	EPPIN	TSSK6
CT90	KIF20B	MPHOSPH10
CTB	CTBS	PCYT1B
CTLA1	GZMB	GZMH
CXorf2	SLITRK2	TEX28
CYP1	CYP1A1	CYP27B1	CYP2A
CYP11B	CYP11B1	CYP11B2
CYP2A	CYP2A13	CYP2A6	CYP2A7
CYP2B	CYP2B6	CYP2B7P1
CYP2C	CYP2C18	CYP2C19
CYP2D	CYP2D6	CYP2D7P1
CYPL1	CYP51A1	PPIL1
CaMKIINalpha	CAMK2A	CAMK2N1
D-X	ULK4P1	ULK4P2	ULK4P3
D3F15S2	APEH	MST1
D6S230E	TCP1	TCP11
DA1	IGHD4-11	TPM2
DA2B	AMCD2B	TNNI2	TNNT3
DAGK	DGKA	DGKQ
DAGK6	DGKE	DGKZ
DAN	NBL1	PARN
DAP	DNPEP	IAPP
DAP4	DLGAP4	PRKRIR
DAT1	LMO3	SLC6A3
DBA	LOH19CR1	RPS19
DBP	GC	HSD17B4
DBS	LRP2	MCF2L
DC7	MOGAT3	VPS29
DD3	AKR1A1	PCA3
DEF3	DEFA3	RBM6
DEFB4	DEFB104A	DEFB4A
DELTA	PSMB6	YY1
DFNA2	GJB3	KCNQ4
DFNA3	GJB2	GJB6
DFNB6	OTOF	TMIE
DGK	DGKB	DGKE
DIA	DIAPH2	LIF
DIA1	C3orf58	CYB5R3
DIFF6	SEPT1	SEPT2
DIP	GRAMD4	TSC22D3
DIP1	CCNDBP1	NCKIPSD
DK1	DOLK	IGHD5-12
DKFZp547P234	ATP6V1G1	C9orf91
DLC1	DLEC1	DYNLL1
DM	DM1	DMPK
DM1	DMPK	IGHD1-7
DM2	CNBP	IGHD1-14
DMC	CXCL17	DYM
DMT1	DMRT1	SLC11A2
DNAJ	DNAJA2	DNAJC14
DNF15S2	APEH	MST1
DNM1DN10@	DNM1P37	DNM1P38
DNM1DN11@	DNM1P39	DNM1P40	DNM1P41	DNM1P42	DNM1P43	DNM1P44
DNM1DN14@	DNM1P46	DNM1P47
DNM1DN15@	DNM1P24	DNM1P25
DNM1DN16@	DNM1P26	DNM1P27
DNM1DN3@	DNM1P28	DNM1P29	DNM1P30
DNM1DN4@	DNM1P30	DNM1P31	DNM1P32
DNM1DN8@	DNM1P34	DNM1P35	DNM1P36	DNM1P49
DOC1	ANAPC10	CDK2AP1
DP1	PTGDR	REEP5	TFDP1
DP2	APC	PTGDR2
DP3	APC	JUP
DPK	KCNK1	TAOK3
DPPIV	DPP4	FAP
DRP	DENR	UTRN
DRP-1	CRMP1	DAPK2
DRP1	DENR	DNM1L	UTRN
DRS1	DDX27	ECI2
DTD	NQO1	SLC26A2
DUP	CDT1	MSH3
DUSP24	DUSP26	STYXL1
DXS648E	RPL10	SNORA70
E1	BCHE	ENOPH1	SNORA73A
E2	CST12P	SNORA62
E3	ALDH9A1	SNORA63
E4	UBE4A	UBE4B
EAP1	EXOSC7	IRF2BPL	PTTG1
EB1	COX7A2L	MAPRE1	MAPRE2
EBN	CHRNA4	KCNQ2
EBN1	CHRNA4	KCNQ2
EBP	GLB1	SH3D19
EDG1	HEXIM1	S1PR1
EDG2	BUD31	LPAR1
EDHB17	HSD17B1	HSD17B1P1
EEF1AL	EEF1A1P3	EEF1A2
EHK1	EPHA5	KRT1
EIF-2B	EIF2B1	EIF2B3	EIF2B4	EIF2B5
EIF1A	EIF1	EIF1AX
EIF2	EIF2S1	EIF2S2	EIF2S3
EIF2B	EIF2B1	EIF2B2	EIF2B4
EIF4A	EIF4A1	EIF4A2
EIF4F	EIF4A2	EIF4E	EIF4G1
EMAP-2	AIMP1	EML2	EML5
EMC19	SKP1	SKP1P1
EMT	ITK	SLC22A3
EP2	PTGER2	SPAG11B
EPO	EPX	TIMP1
EPR-1	BIRC5	ELF3
ERF1	ETF1	TFAP2C	ZFP36L1
ERK	EPHB2	MAPK1
ESA	EPCAM	FLOT2	PON1
ESA1	FLOT2	KAT5
ESG	TLE1	TLE2	TLE3	TLE4
ESO1	CTAG1A	CTAG1B	ESCO1
ESP1	CRIP2	ESPL1
EST	MAP3K8	SULT1E1
ETK	BMX	EPHA3
ETL1	LGI1	SMARCAD1
EVR1	FZD4	LRP5
EWSR2	ETS1	FLI1
F379	FAM138A	FAM138B	FAM138C	FAM138D	FAM138E	FAM138F
F5F8D	LMAN1	MCFD2
FACD	BRCA2	FANCD2
FAD	BRCA2	FANCD2	PSEN1
FAD1	BRCA2	FLAD1
FAF	FANCF	USP9X
FANCD	BRCA2	FANCD2
FAT	CD36	FAT1
FBL3	FBXL2	FBXL3
FBL4	FBXL4	FBXL5
FBL5	FBXL4	FBXL5
FBL6	FBXL6	FBXL7
FBL7	FBXL7	KDM2A
FBP	FBP1	FUBP1	RAB14
FBS	FBRS	FBXO8
FBX30	FBXO44	FBXW7
FCG2	FCGR2A	FCGR2B
FCG3	FCGR3A	FCGR3B
FCGR2	FCGR2A	FCGR2B
FCGR3	FCGR3A	FCGR3B
FCT3A	FUT4	FUT6
FE	GTF2E1	GTF2E2
FHC	FTH1	MYBPC3
FHL1	CFH	HPLH1
FIG	C10orf10	GOPC
FIL1	IL36A	IL36B	IL36RN	IL37
FIR	FARP2	PUF60
FLJ10052	SUSD4	TLR5
FLJ10883	PCMTD1	PCMTD2
FLJ20375	FOCAD	KIAA2026
FLJ21610	FAM58A	GAREM
FLJ22167	CHST5	TMEM231
FLJ37712	SLC35F3	SLC35F4
FLJ43692	ARHGEF35	CTAGE4
FOP	CHTOP	FGFR1OP
FP	PTGFR	SDHA
FPP	ALX4	MSX2
FRAG1	ATAD5	PGAP2
FRP	FSTL1	SFRP1
FS	FST	GBGT1
FSP1	ATL1	S100A4
FSSV	TNNI2	TNNT3
FUS1	FUS	TUSC2
FUS2	HYAL1	NAT6
G10	BUD31	ZBTB12
G13	ATF6B	GNA13
G17	PBX2	SLC38A3
G18	CISH	GPSM3
G2	CRYGEP	KIAA1549L	PRRC2A
GAGE8	GAGE2D	GAGE2E
GAL7	LGALS7	LGALS7B
GALNT15	GALNT18	GALNTL5
GARP	CNGB1	LRRC32
GAS	GALNS	GAST	PAGR1
GASP	GPRASP1	VOPP1
GBP	HADHA	LGALS1	PIAS1	TMEM132A
